time	zone	type	price
2017-11-27T14:55:41.000Z	us-east-1d	c4.4xlarge	0.2403
2017-11-27T14:55:39.000Z	us-east-1d	c4.4xlarge	0.2402
2017-11-27T14:55:23.000Z	us-east-1d	c4.4xlarge	0.24
2017-11-27T14:54:51.000Z	us-east-1d	c4.4xlarge	0.2399
2017-11-27T14:54:49.000Z	us-east-1d	c4.4xlarge	0.2397
2017-11-27T14:54:47.000Z	us-east-1d	c4.4xlarge	0.2396
2017-11-27T14:54:03.000Z	us-east-1d	c4.4xlarge	0.2395
2017-11-27T14:54:01.000Z	us-east-1d	c4.4xlarge	0.2394
2017-11-27T14:53:59.000Z	us-east-1d	c4.4xlarge	0.2393
2017-11-27T14:53:57.000Z	us-east-1d	c4.4xlarge	0.2392
2017-11-27T14:53:39.000Z	us-east-1d	c4.4xlarge	0.239
2017-11-27T14:52:05.000Z	us-east-1d	c4.4xlarge	0.2389
2017-11-27T14:52:03.000Z	us-east-1d	c4.4xlarge	0.2387
2017-11-27T14:52:01.000Z	us-east-1d	c4.4xlarge	0.2386
2017-11-27T14:51:59.000Z	us-east-1d	c4.4xlarge	0.2385
2017-11-27T14:51:57.000Z	us-east-1d	c4.4xlarge	0.2383
2017-11-27T14:51:03.000Z	us-east-1d	c4.4xlarge	0.2382
2017-11-27T14:50:39.000Z	us-east-1d	c4.4xlarge	0.2381
2017-11-27T14:50:37.000Z	us-east-1d	c4.4xlarge	0.238
2017-11-27T14:50:35.000Z	us-east-1d	c4.4xlarge	0.2378
2017-11-27T14:50:33.000Z	us-east-1d	c4.4xlarge	0.2377
2017-11-27T14:49:47.000Z	us-east-1d	c4.4xlarge	0.2376
2017-11-27T14:49:45.000Z	us-east-1d	c4.4xlarge	0.2375
2017-11-27T14:49:43.000Z	us-east-1d	c4.4xlarge	0.2374
2017-11-27T14:48:59.000Z	us-east-1d	c4.4xlarge	0.2372
2017-11-27T14:48:57.000Z	us-east-1d	c4.4xlarge	0.237
2017-11-27T14:48:55.000Z	us-east-1d	c4.4xlarge	0.2369
2017-11-27T14:47:05.000Z	us-east-1d	c4.4xlarge	0.2368
2017-11-27T14:47:03.000Z	us-east-1d	c4.4xlarge	0.2366
2017-11-27T14:47:01.000Z	us-east-1d	c4.4xlarge	0.2365
2017-11-27T14:45:19.000Z	us-east-1d	c4.4xlarge	0.2364
2017-11-27T14:43:27.000Z	us-east-1d	c4.4xlarge	0.2365
2017-11-27T14:42:11.000Z	us-east-1d	c4.4xlarge	0.2368
2017-11-27T14:41:55.000Z	us-east-1d	c4.4xlarge	0.2369
2017-11-27T14:41:03.000Z	us-east-1d	c4.4xlarge	0.237
2017-11-27T14:39:05.000Z	us-east-1d	c4.4xlarge	0.2371
2017-11-27T14:38:07.000Z	us-east-1d	c4.4xlarge	0.2373
2017-11-27T14:34:50.000Z	us-east-1d	c4.4xlarge	0.2374
2017-11-27T14:31:40.000Z	us-east-1d	c4.4xlarge	0.2375
2017-11-27T14:30:30.000Z	us-east-1d	c4.4xlarge	0.2376
